market,model_type,avg_rmse,avg_mae,best_rmse,n_configs
Indian_Metals,Basic_LSTM,0.03558256460606996,0.017448807660290163,0.018051330784259,15
Indian_Metals,Single_GARCH_LSTM,0.030270736416115145,0.013580697313476654,0.015136840109165,15
Indian_Metals,Dual_GARCH_LSTM,0.030785795444627725,0.014489297223208918,0.015039916433992,15
Indian_Metals,Triple_GARCH_LSTM,0.030894147309049366,0.01460250251068622,0.0152163072130982,15
US_Financial_Indices,Single_GARCH_LSTM,7.605119480946055e-05,2.292777956678924e-05,6.99474735256898e-05,3
US_Financial_Indices,Dual_GARCH_LSTM,8.556346057336931e-05,2.447856689989512e-05,7.904646252781218e-05,3
US_Financial_Indices,Triple_GARCH_LSTM,8.749255294156834e-05,2.5035163655077127e-05,8.281281083558585e-05,3
US_Financial_Indices,Basic_LSTM,8.437565772725037e-05,3.0901804062854195e-05,7.747199489066897e-05,3
US_Financial_Indices,Single_GARCH_LSTM,7.564156090854421e-05,2.9209892209236475e-05,6.821034726502812e-05,3
US_Financial_Indices,Dual_GARCH_LSTM,7.769343643095416e-05,2.935518806958534e-05,7.221242762682644e-05,3
US_Financial_Indices,Triple_GARCH_LSTM,8.689695208492051e-05,3.1146436190814665e-05,8.315871309679825e-05,3
US_Financial_Indices,Basic_LSTM,0.0001435352627809,4.267558463074917e-05,0.000128887168521,3
