model,confidence_level,violation_rate,expected_rate,violations_count,total_observations,uc_statistic,uc_pvalue,cc_statistic,cc_pvalue,violation_severity,var_mean,var_std
SPX_sGARCH_LSTM_win22,0.01,0.0226586102719033,0.01,30,1324,15.7725104614128,7.143289458633184e-05,0.1840046202100399,0.6679540831589212,-0.0052627646301567,-0.0295318938004151,0.0249936589279531
SPX_sGARCH_LSTM_win22,0.05,0.0657099697885196,0.05,87,1324,6.287489614174376,0.0121593153092429,2.010831028621256,0.1561797470145653,-0.0083252027324158,-0.0171598543880152,0.0109999311158303
SPX_sGARCH_LSTM_win5,0.01,0.0216256524981357,0.01,29,1341,13.738913223236828,0.0002100569988069,0.2405590193695805,0.6238026527938791,-0.0052025221360471,-0.0297761565275796,0.025071399976523
SPX_sGARCH_LSTM_win5,0.05,0.064131245339299,0.05,86,1341,5.19558338854938,0.0226443532197536,1.269917596769614,0.2597821392567656,-0.0083862610149222,-0.017331389617639,0.0110379646947635
SPX_sGARCH-eGARCH-tGARCH_LSTM_win22,0.01,0.0188821752265861,0.01,25,1324,8.367490156496075,0.003819928226051,0.5058533274752095,0.4769394497326467,-0.0058042804831802,-0.0298059776285167,0.0250832778911804
SPX_sGARCH-eGARCH-tGARCH_LSTM_win22,0.05,0.0634441087613293,0.05,84,1324,4.660001325664297,0.0308731676491553,0.6784003927035648,0.4101380878752643,-0.0083267100580941,-0.0173148006835145,0.0110057605282928
SPX_sGARCH_LSTM_win11,0.01,0.0209737827715355,0.01,28,1335,12.341528192199108,0.0004429922324167,0.2934762489072425,0.5880014318480085,-0.0052784411135922,-0.0298218039769617,0.0250120151730948
SPX_sGARCH_LSTM_win11,0.05,0.0629213483146067,0.05,84,1335,4.352595780896195,0.0369525828880319,0.7091277460445784,0.3997335312183768,-0.0084619779439295,-0.0173434175672674,0.0109827387198379
SPX_LSTM_Baseline_win5,0.01,0.0247000705716302,0.01,35,1417,21.946308300643267,2.803857364619411e-06,1.2097036418847982,0.271390822800301,-0.0066087469584716,-0.0295724313308397,0.0242874810746996
SPX_LSTM_Baseline_win5,0.05,0.0642201834862385,0.05,91,1417,5.556740223170948,0.0184096626000621,0.3784526554807496,0.5384325144358904,-0.0092672490570746,-0.0173413261808836,0.0108359372385999
SPX_sGARCH-tGARCH_LSTM_win22,0.01,0.0203927492447129,0.01,27,1324,11.105049884495877,0.0008609297343522,0.3507194060678264,0.5537061740115982,-0.0055632495446789,-0.0297446547701862,0.0253024265598427
SPX_sGARCH-tGARCH_LSTM_win22,0.05,0.0649546827794562,0.05,86,1324,5.720030900016695,0.0167724352606419,1.2003942558010527,0.2732428935035421,-0.0082142070012785,-0.0172709461317023,0.011134485709147
