model,confidence_level,violation_rate,expected_rate,violations_count,total_observations,uc_statistic,uc_pvalue,var_mean,var_std
Copper_S-LSTM_win22,0.05,0.04036697247706422,0.05,22,545,-1.2164811886791103,1.0,-0.05448548751149755,0.03823969888683495
Copper_S-LSTM_win22,0.01,0.027522935779816515,0.01,15,545,-8.235518780169015,1.0,-0.09555364444304368,0.0670279969902948
Copper_E-LSTM_win22,0.05,0.04036697247706422,0.05,22,545,-1.2164811886791103,1.0,-0.05448548751149755,0.03823969888683495
Copper_E-LSTM_win22,0.01,0.027522935779816515,0.01,15,545,-8.235518780169015,1.0,-0.09555364444304368,0.0670279969902948
Copper_T-LSTM_win22,0.05,0.04036697247706422,0.05,22,545,-1.2164811886791103,1.0,-0.05448548751149755,0.03823969888683495
Copper_T-LSTM_win22,0.01,0.027522935779816515,0.01,15,545,-8.235518780169015,1.0,-0.09555364444304368,0.0670279969902948
Copper_ST-LSTM_win22,0.05,0.04036697247706422,0.05,22,545,-1.2164811886791103,1.0,-0.05448548751149755,0.03823969888683495
Copper_ST-LSTM_win22,0.01,0.027522935779816515,0.01,15,545,-8.235518780169015,1.0,-0.09555364444304368,0.0670279969902948
Copper_ET-LSTM_win22,0.05,0.04036697247706422,0.05,22,545,-1.2164811886791103,1.0,-0.05448548751149755,0.03823969888683495
Copper_ET-LSTM_win22,0.01,0.027522935779816515,0.01,15,545,-8.235518780169015,1.0,-0.09555364444304368,0.0670279969902948
Lead_S-LSTM_win22,0.05,0.05504587155963303,0.05,30,545,-0.2748179980487704,1.0,-0.06315342061390339,0.0976164674353561
Lead_S-LSTM_win22,0.01,0.044036697247706424,0.01,24,545,-21.594186929301568,1.0,-0.098190734891035,0.1604275764787935
Lead_E-LSTM_win22,0.05,0.05504587155963303,0.05,30,545,-0.2748179980487704,1.0,-0.06315342061390339,0.0976164674353561
Lead_E-LSTM_win22,0.01,0.044036697247706424,0.01,24,545,-21.594186929301568,1.0,-0.098190734891035,0.1604275764787935
Lead_T-LSTM_win22,0.05,0.05504587155963303,0.05,30,545,-0.2748179980487704,1.0,-0.06315342061390339,0.0976164674353561
Lead_T-LSTM_win22,0.01,0.044036697247706424,0.01,24,545,-21.594186929301568,1.0,-0.098190734891035,0.1604275764787935
Lead_ET-LSTM_win22,0.05,0.05504587155963303,0.05,30,545,-0.2748179980487704,1.0,-0.06315342061390339,0.0976164674353561
Lead_ET-LSTM_win22,0.01,0.044036697247706424,0.01,24,545,-21.594186929301568,1.0,-0.098190734891035,0.1604275764787935
Tin_S-LSTM_win22,0.05,0.011009174311926606,0.05,6,545,-40.82353618673948,1.0,-0.07236636711093969,0.08013512109711174
Tin_S-LSTM_win22,0.01,0.009174311926605505,0.01,5,545,-0.03971199323755123,1.0,-0.10373409316883682,0.11173475270135173
Tin_E-LSTM_win22,0.05,0.011009174311926606,0.05,6,545,-40.82353618673948,1.0,-0.07236636711093969,0.08013512109711174
Tin_E-LSTM_win22,0.01,0.009174311926605505,0.01,5,545,-0.03971199323755123,1.0,-0.10373409316883682,0.11173475270135173
Tin_T-LSTM_win22,0.05,0.011009174311926606,0.05,6,545,-40.82353618673948,1.0,-0.07236636711093969,0.08013512109711174
Tin_T-LSTM_win22,0.01,0.009174311926605505,0.01,5,545,-0.03971199323755123,1.0,-0.10373409316883682,0.11173475270135173
Tin_ST-LSTM_win22,0.05,0.011009174311926606,0.05,6,545,-40.82353618673948,1.0,-0.07236636711093969,0.08013512109711174
Tin_ST-LSTM_win22,0.01,0.009174311926605505,0.01,5,545,-0.03971199323755123,1.0,-0.10373409316883682,0.11173475270135173
Tin_ET-LSTM_win22,0.05,0.011009174311926606,0.05,6,545,-40.82353618673948,1.0,-0.07236636711093969,0.08013512109711174
Tin_ET-LSTM_win22,0.01,0.009174311926605505,0.01,5,545,-0.03971199323755123,1.0,-0.10373409316883682,0.11173475270135173
Nickel_S-LSTM_win22,0.05,0.03302752293577982,0.05,18,545,-4.263472116013337,1.0,-0.0690876291277328,0.05766525591403854
Nickel_S-LSTM_win22,0.01,0.025688073394495414,0.01,14,545,-6.953421721169831,1.0,-0.09577959093585703,0.08160701870684822
Nickel_E-LSTM_win22,0.05,0.03302752293577982,0.05,18,545,-4.263472116013337,1.0,-0.0690876291277328,0.05766525591403854
Nickel_E-LSTM_win22,0.01,0.025688073394495414,0.01,14,545,-6.953421721169831,1.0,-0.09577959093585703,0.08160701870684822
Nickel_T-LSTM_win22,0.05,0.03302752293577982,0.05,18,545,-4.263472116013337,1.0,-0.0690876291277328,0.05766525591403854
Nickel_T-LSTM_win22,0.01,0.025688073394495414,0.01,14,545,-6.953421721169831,1.0,-0.09577959093585703,0.08160701870684822
Nickel_ST-LSTM_win22,0.05,0.03302752293577982,0.05,18,545,-4.263472116013337,1.0,-0.0690876291277328,0.05766525591403854
Nickel_ST-LSTM_win22,0.01,0.025688073394495414,0.01,14,545,-6.953421721169831,1.0,-0.09577959093585703,0.08160701870684822
Nickel_ET-LSTM_win22,0.05,0.03302752293577982,0.05,18,545,-4.263472116013337,1.0,-0.0690876291277328,0.05766525591403854
Nickel_ET-LSTM_win22,0.01,0.025688073394495414,0.01,14,545,-6.953421721169831,1.0,-0.09577959093585703,0.08160701870684822
